"SNo","company","ReviwerType","job_title","overall_ratings","workLifebalance_ratings","culturevalues_ratings","carreropportunities_ratings","benefits_ratings","seniormangemnet_ratings"
1,"google","Employee"," Anonymous Employee",5,4,5,5,4,5
2,"google","Alumni"," Program Manager",4,2,3,3,5,3
3,"google","Employee"," Software Engineer III",5,5,4,5,5,4
4,"google","Employee"," Anonymous Employee",5,2,5,5,4,5
5,"google","Alumni"," Software Engineer",5,5,5,5,5,5
6,"google","Alumni"," SDE2",5,4,4,4,5,4
7,"google","Employee"," Software Engineer",5,5,4,4,5,4
8,"google","Alumni"," Anonymous Employee",5,5,5,5,5,5
9,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
10,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
11,"google","Employee"," Anonymous Employee",5,4,5,4,4,3
12,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
13,"google","Alumni"," Anonymous Employee",5,5,5,5,5,5
14,"google","Employee"," Sales Operations Analyst",5,5,5,5,4,4
15,"google","Employee"," Anonymous Employee",5,4,5,3,5,5
16,"google","Employee"," Anonymous Employee",5,3,4,4,4,3
17,"google","Employee"," Anonymous Employee",5,4,5,5,5,4
18,"google","Alumni"," Anonymous Employee",5,3,4,2,4,3
19,"google","Alumni"," Anonymous Employee",5,5,5,5,5,5
20,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
21,"google","Employee"," Designer",5,3,4,3,4,5
22,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
23,"google","Employee"," Anonymous Employee",5,3,4,5,4,3
24,"google","Employee"," Anonymous Employee",5,3,4,4,4,3
25,"google","Employee"," Staff Accountant",5,5,5,5,5,5
26,"google","Employee"," Anonymous Employee",5,4,5,4,5,5
27,"google","Employee"," Anonymous Employee",5,3,5,4,5,3
28,"google","Employee"," Program Manager I",5,5,5,5,5,5
29,"google","Employee"," Anonymous Employee",5,4,5,5,5,5
30,"google","Alumni"," Anonymous Employee",5,3,4,4,4,3
31,"google","Employee"," Anonymous Employee",5,3,4,4,4,3
32,"google","Alumni"," Senior Director",3,4,5,5,5,5
33,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
34,"google","Employee"," Software Engineering Manager",4,5,5,4,4,4
35,"google","Employee"," Google Specialist",5,3,4,4,5,4
36,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
37,"google","Employee"," Anonymous Employee",4,5,4,3,4,3
38,"google","Employee"," Anonymous Employee",4,4,3,3,4,3
39,"google","Employee"," Anonymous Employee",3,2,3,5,5,3
40,"google","Employee"," Anonymous Employee",5,3,5,5,5,4
41,"google","Employee"," Anonymous Employee",4,3,4,4,4,3
42,"google","Employee"," Staff Software Engineer",5,4,4,5,5,3
43,"google","Alumni"," Anonymous Employee",3,3,2,3,4,1
44,"google","Employee"," Program Manager",5,5,3,5,4,5
45,"google","Employee"," Software Engineer",5,5,5,4,4,4
46,"google","Alumni"," Anonymous Employee",5,3,4,4,4,3
47,"google","Alumni"," Associate Account Strategist",5,4,4,5,5,2
48,"google","Employee"," Anonymous Employee",4,4,4,4,4,3
49,"google","Employee"," Anonymous Employee",4,2,4,4,5,4
50,"google","Employee"," Anonymous Employee",3,2,1,2,5,2
51,"google","Employee"," Anonymous Employee",5,3,4,5,4,3
52,"google","Alumni"," Anonymous Employee",4,3,4,4,4,3
53,"google","Employee"," Software Engineer",5,5,5,5,5,5
54,"google","Employee"," Anonymous Employee",5,3,4,4,4,3
55,"google","Employee"," Software Engineer",5,5,5,5,4,4
56,"google","Employee"," Data Scientist",2,4,3,2,5,2
57,"google","Employee"," Anonymous Employee",4,4,4,4,5,3
58,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
59,"google","Employee"," Anonymous Employee",4,3,4,4,4,3
60,"google","Employee"," Anonymous Employee",4,3,4,4,5,4
61,"google","Alumni"," Anonymous Employee",5,3,4,4,4,3
62,"google","Employee"," Software Engineer",5,5,5,4,5,4
63,"google","Alumni"," Anonymous Employee",3,3,3,4,4,2
64,"google","Alumni"," Anonymous Employee",5,2,2,4,4,3
65,"google","Alumni"," Anonymous Employee",5,3,4,4,4,3
66,"google","Alumni"," Legal Specialist",4,5,5,3,5,4
67,"google","Employee"," Anonymous Employee",5,5,3,5,5,4
68,"google","Alumni"," Anonymous Employee",3,3,3,2,3,2
69,"google","Employee"," Product Marketing Manager",5,4,5,5,5,4
70,"google","Alumni"," Anonymous Employee",5,5,5,5,5,5
71,"google","Alumni"," Anonymous Employee",5,5,5,5,5,5
72,"google","Employee"," Anonymous Employee",5,4,5,5,5,5
73,"google","Employee"," Anonymous Employee",5,5,5,5,5,5
74,"google","Employee"," Software Engineer",5,5,5,5,5,4
75,"google","Alumni"," Anonymous Employee",5,3,4,4,4,3
76,"google","Employee"," Front End Engineer",5,4,5,5,5,4
77,"google","Alumni"," Anonymous Employee",5,5,5,5,5,5
78,"google","Alumni"," Anonymous Employee",5,3,4,4,4,3
