Company,jobtitle,overall_ratings,workLifebalance_ratings,culturevalues_ratings,carreropportunities_ratings,benefits_ratings,seniormangemnet_ratings
amazon,&#034,\N,\N,5,3,5,4
amazon,-,4,4,4,4,4,4
amazon,3D Artist,4,5,4,4,5,3
amazon,3D Junior Artist,3,4,4,4,3,4
amazon,3P Seller,1,1,1,1,1,1
amazon,3PL Operations Liaison,5,5,5,5,5,5
amazon,A Leader,5,5,5,5,5,5
amazon,AA(Amazon Associate),2,3,1,1,3,1
amazon,ACES,4,4,5,2,5,3
amazon,ACES Analyst,5,5,5,5,5,5
amazon,AFE,3,3,3,3,4,3
amazon,AFE Associate,4,4,4,3,5,3
amazon,AFE II/Induct,5,5,5,5,5,5
amazon,AFE Outbound,1,1,1,1,1,1
amazon,AFE Pack,5,2,3,4,4,3
amazon,AFE Pack Side,5,5,5,5,5,5
amazon,AFE Packer,3,2,2,4,4,3
amazon,AFE Process Guide,2,2,1,1,2,1
amazon,AFM,2,1,1,2,2,1
amazon,AI2 Associate,5,4,5,4,3,4
amazon,AM,\N,2,1,3,4,4
amazon,AM-HR,5,5,5,5,5,5
amazon,AMZL Associate,3,4,4,3,3,4
amazon,AMZL Learning Coordinator,5,4,4,4,5,5
amazon,AMZL Sort Associate,3,1,4,4,1,1
amazon,ANDHRA PRADESH,4,4,4,4,5,4
amazon,AP Manager,5,5,5,4,4,5
amazon,ASM - Operations - Amazon Now,5,5,5,5,5,5
amazon,AWS Business Development,5,3,5,5,4,3
amazon,AWS Consultant,5,5,5,5,5,5
amazon,AWS Customer Enablement,5,4,5,5,4,4
amazon,AWS Partner Development Manager,5,3,5,5,5,4
amazon,AWS SOC Analyst,5,4,5,5,5,5
amazon,AWS Sales,5,4,5,5,4,4
amazon,AWS Sales Operations,5,4,5,5,4,4
amazon,AWS Solutions Architect,3,4,3,2,4,2
amazon,AWS Team,2,1,2,3,2,2
amazon,AWS Technical Account Manager,5,4,5,5,3,4
amazon,Abteilungsleiter Technik,3,1,2,2,4,2
amazon,Abuse Risk Investigator,3,2,2,3,2,2
amazon,Abusive Risk Investigation,5,5,5,5,5,5
amazon,Account Executive,4,3,4,4,4,4
amazon,Account Executive Seller Services,4,2,4,4,4,4
